# temperature, avr_energy, avr_magnetisation, heat_capacity, succeptibility, E_energy, E_heat capacity, E_magnetisation, E_succeptibility
1.000000000000000000e+00,-4.751380619380619464e+03,1.250000000000000000e+03,9.137102258354425077e-02,0.000000000000000000e+00,4.777021635940348898e-01,5.351046966714897296e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,-4.731868131868131968e+03,1.250000000000000000e+03,9.185610865389018387e-02,0.000000000000000000e+00,5.268653922363653042e-01,4.211668749924154034e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000178e+00,-4.711752247752247968e+03,1.250000000000000000e+03,9.603800572868848029e-02,0.000000000000000000e+00,5.877001184215829843e-01,4.371604702415827180e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000266e+00,-4.681042957042956914e+03,1.250000000000000000e+03,1.332478534126069480e-01,0.000000000000000000e+00,7.499398448512992754e-01,6.351165678657245614e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000355e+00,-4.645130869130869542e+03,1.250000000000000000e+03,1.892409337889782162e-01,0.000000000000000000e+00,9.624729717487867653e-01,8.205958780900794725e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000444e+00,-4.600491508491508284e+03,1.250000000000000000e+03,2.231621139440270185e-01,0.000000000000000000e+00,1.119836085359448230e+00,1.132903513096678201e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000533e+00,-4.532199800199799938e+03,1.250000000000000000e+03,3.322265297145347573e-01,0.000000000000000000e+00,1.457438048256379348e+00,1.559395668125268877e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000622e+00,-4.442921078921079243e+03,1.250000000000000000e+03,4.040342723343608999e-01,0.000000000000000000e+00,1.707697685842232804e+00,1.772068179423100243e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000711e+00,-4.348667332667332630e+03,1.250000000000000000e+03,3.815624155817021745e-01,0.000000000000000000e+00,1.757147688219119486e+00,1.970112644858383263e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000799e+00,-4.209566433566433261e+03,1.250000000000000000e+03,5.639807098352673798e-01,0.000000000000000000e+00,2.254959215860981470e+00,2.660694721517577535e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000888e+00,-4.049386613386613590e+03,1.250000000000000000e+03,7.547695684932165250e-01,0.000000000000000000e+00,2.745934363637455800e+00,3.472438140463437323e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000977e+00,-3.877646353646353873e+03,1.250000000000000000e+03,7.531558517844763045e-01,0.000000000000000000e+00,2.880147221568192251e+00,3.221766746659837644e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000001066e+00,-3.628671328671328865e+03,1.250000000000000000e+03,9.455480773055778831e-01,0.000000000000000000e+00,3.380784233482537093e+00,4.121193954618795202e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000001155e+00,-3.364791208791208646e+03,1.250000000000000000e+03,8.807450668527850857e-01,0.000000000000000000e+00,3.411190011101169706e+00,3.885111652638287977e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000001243e+00,-3.157426573426573214e+03,1.250000000000000000e+03,6.801883431254982515e-01,0.000000000000000000e+00,3.128086829643969224e+00,3.021681286077813194e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000001332e+00,-2.998025974025973937e+03,1.250000000000000000e+03,6.273879288502924867e-01,0.000000000000000000e+00,3.129399821857538733e+00,2.638889166903815586e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000001421e+00,-2.864683316683316662e+03,1.250000000000000000e+03,4.505598904875228738e-01,0.000000000000000000e+00,2.758052808404042544e+00,1.877940960271327550e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000001510e+00,-2.759848151848151701e+03,1.250000000000000000e+03,3.884984655444223556e-01,0.000000000000000000e+00,2.659569744023090987e+00,1.694653980714973251e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000001599e+00,-2.673810189810189968e+03,1.250000000000000000e+03,3.186772378674248563e-01,0.000000000000000000e+00,2.497965978185764158e+00,1.442441616959458731e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000001688e+00,-2.587316683316683338e+03,1.250000000000000000e+03,2.967544042824473149e-01,0.000000000000000000e+00,2.496603356906510474e+00,1.304084840925620777e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000001776e+00,-2.517770229770229889e+03,1.250000000000000000e+03,2.565689933554162749e-01,0.000000000000000000e+00,2.401465243384020454e+00,1.191498288278637803e-02,0.000000000000000000e+00,0.000000000000000000e+00
