# temperature, avr_energy, avr_magnetisation, heat_capacity, succeptibility, E_energy, E_heat capacity, E_magnetisation, E_succeptibility
1.000000000000000000e+00,-4.992823176823177164e+03,2.498175824175824346e+03,2.312955136746168081e-02,1.522099877521395674e-03,2.403458181599505972e-01,1.182448827745907413e-03,6.165588574590809973e-02,1.185692002822153011e-03
1.100000000000000089e+00,-4.985346653346653511e+03,2.496245754245754142e+03,3.835923127645302771e-02,2.868238836188208036e-03,3.404713701036211071e-01,1.679136698918259115e-03,8.876810813419415414e-02,1.851458364568085626e-03
1.200000000000000178e+00,-4.971476523476523653e+03,2.492531468531468363e+03,6.555158682995371189e-02,5.835916997243960173e-03,4.855408969659328333e-01,2.974356340508018965e-03,1.322507494479291390e-01,3.569379772227333422e-03
1.300000000000000266e+00,-4.951440559440559809e+03,2.487142857142857338e+03,1.016637122128489085e-01,1.017215751254787678e-02,6.550573135372140809e-01,4.385627789632690413e-03,1.817319053749878732e-01,5.824160062380684920e-03
1.400000000000000355e+00,-4.921354645354645072e+03,2.478817182817183038e+03,1.396748355525183893e-01,1.590853273974997262e-02,8.268754266717945889e-01,6.078068321690202093e-03,2.358479178424157940e-01,8.172657187785909924e-03
1.500000000000000444e+00,-4.878981018981018678e+03,2.466595404595404489e+03,1.885802445312339815e-01,2.535628074904282270e-02,1.029419336963241616e+00,8.330434626530408559e-03,3.082062000456576301e-01,1.275782765020318579e-02
1.600000000000000533e+00,-4.819812187812187403e+03,2.448751248751248568e+03,2.561857972200958233e-01,4.209067456028423027e-02,1.279824656371109981e+00,1.079766093769661192e-02,4.101152322665947980e-01,1.769246763257710520e-02
1.700000000000000622e+00,-4.746285714285714675e+03,2.425348651348651401e+03,3.416334925576475223e-01,7.094066420153656571e-02,1.570298107870913729e+00,1.556464334012688279e-02,5.488138356767565673e-01,2.552997666509476335e-02
1.800000000000000711e+00,-4.648963036963036757e+03,2.392787212787212866e+03,4.525705938961031571e-01,1.097843659282144169e-01,1.913676997538029667e+00,1.951246904799702753e-02,7.025212527507140869e-01,3.741264766152958832e-02
1.900000000000000799e+00,-4.517694305694305513e+03,2.342729270729270866e+03,6.205595465528662702e-01,2.429098548540158387e-01,2.365365712248772123e+00,2.899232799247351486e-02,1.073624301800056857e+00,5.442349964115684308e-02
2.000000000000000888e+00,-4.358709290709291054e+03,2.275342657342657276e+03,7.588903500095003363e-01,3.837801135927437213e-01,2.753420087440052733e+00,3.566773777299477033e-02,1.384551762982925149e+00,7.139269413230243944e-02
2.100000000000000977e+00,-4.153706293706293764e+03,2.173234765234765291e+03,9.736503542128460698e-01,7.893352038760975686e-01,3.274716992933991655e+00,4.208989007554835710e-02,2.034667036740675172e+00,8.451752750991678442e-02
2.200000000000001066e+00,-3.868407592407592347e+03,1.970005994005993898e+03,1.530731888136494190e+00,3.557807277093131493e+00,4.301552335373509450e+00,6.504305517231140366e-02,4.421356311402596440e+00,1.469900249832745975e-01
2.300000000000001155e+00,-3.381946053946053780e+03,1.098831168831168725e+03,2.100006087440960290e+00,4.641802796638710049e+01,5.267336677177180349e+00,8.942917089609234149e-02,3.652548562939578147e+01,2.138103317023743732e-01
2.400000000000001243e+00,-3.011512487512487496e+03,4.606053946053946220e+02,1.283160318425053292e+00,2.163511374140344046e+01,4.296399601501819099e+00,5.655977875358618456e-02,1.818678756794037099e+01,1.304325760386140232e-01
2.500000000000001332e+00,-2.771868131868131968e+03,3.272407592407592460e+02,8.452080779000511468e-01,9.492986210113553369e+00,3.632242149713485801e+00,4.019742968215327117e-02,1.275542489538943336e+01,1.005373981604335276e-01
2.600000000000001421e+00,-2.567224775224775385e+03,2.213226773226773219e+02,6.888225635650323531e-01,3.886838204138132191e+00,3.410201145445496351e+00,2.996759348951107821e-02,8.534167940916637107e+00,7.371191898468738846e-02
2.700000000000001510e+00,-2.411172827172827056e+03,1.900819180819180758e+02,5.459246981221619333e-01,3.084296634138790960e+00,3.152703297995330889e+00,2.537426140257612039e-02,7.537673846522729093e+00,7.067285605650799885e-02
2.800000000000001599e+00,-2.268859140859141007e+03,1.699080919080919045e+02,5.250919049756348489e-01,2.302731489147358257e+00,3.206480908676349273e+00,2.297041837669986861e-02,6.703908432182791977e+00,6.586948156782614083e-02
2.900000000000001688e+00,-2.146469530469530582e+03,1.543476523476523425e+02,4.510301266238531670e-01,1.725537223739433967e+00,3.077894568904166572e+00,1.899513534574984175e-02,6.018870104212837191e+00,5.535545414669812425e-02
3.000000000000001776e+00,-2.042809190809190795e+03,1.349250749250749379e+02,3.847937198554678973e-01,1.428621962120462108e+00,2.940953839702443506e+00,1.561323566895045541e-02,5.373400105033514507e+00,4.955037029923535508e-02
