-4768.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4744.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4736.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4732.0,1250.0
-4728.0,1250.0
-4724.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4732.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4736.0,1250.0
-4728.0,1250.0
-4720.0,1250.0
-4732.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4728.0,1250.0
-4732.0,1250.0
-4732.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4732.0,1250.0
-4744.0,1250.0
-4736.0,1250.0
-4724.0,1250.0
-4728.0,1250.0
-4724.0,1250.0
-4716.0,1250.0
-4720.0,1250.0
-4716.0,1250.0
-4716.0,1250.0
-4720.0,1250.0
-4728.0,1250.0
-4720.0,1250.0
-4728.0,1250.0
-4728.0,1250.0
-4716.0,1250.0
-4720.0,1250.0
-4724.0,1250.0
-4720.0,1250.0
-4724.0,1250.0
-4728.0,1250.0
-4732.0,1250.0
-4732.0,1250.0
-4736.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4736.0,1250.0
-4728.0,1250.0
-4728.0,1250.0
-4732.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4736.0,1250.0
-4744.0,1250.0
-4736.0,1250.0
-4720.0,1250.0
-4732.0,1250.0
-4724.0,1250.0
-4736.0,1250.0
-4728.0,1250.0
-4728.0,1250.0
-4716.0,1250.0
-4716.0,1250.0
-4720.0,1250.0
-4716.0,1250.0
-4720.0,1250.0
-4732.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4728.0,1250.0
-4724.0,1250.0
-4728.0,1250.0
-4752.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4728.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4736.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4740.0,1250.0
-4748.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4736.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4728.0,1250.0
-4732.0,1250.0
-4732.0,1250.0
-4736.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4736.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4748.0,1250.0
-4736.0,1250.0
-4724.0,1250.0
-4728.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4720.0,1250.0
-4740.0,1250.0
-4728.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4740.0,1250.0
-4728.0,1250.0
-4728.0,1250.0
-4716.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4752.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4772.0,1250.0
-4772.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4732.0,1250.0
-4732.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4728.0,1250.0
-4724.0,1250.0
-4728.0,1250.0
-4712.0,1250.0
-4704.0,1250.0
-4708.0,1250.0
-4724.0,1250.0
-4716.0,1250.0
-4724.0,1250.0
-4728.0,1250.0
-4736.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4728.0,1250.0
-4720.0,1250.0
-4716.0,1250.0
-4720.0,1250.0
-4712.0,1250.0
-4728.0,1250.0
-4740.0,1250.0
-4748.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4716.0,1250.0
-4720.0,1250.0
-4712.0,1250.0
-4716.0,1250.0
-4708.0,1250.0
-4708.0,1250.0
-4704.0,1250.0
-4728.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4740.0,1250.0
-4752.0,1250.0
-4732.0,1250.0
-4736.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4732.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4732.0,1250.0
-4744.0,1250.0
-4732.0,1250.0
-4724.0,1250.0
-4724.0,1250.0
-4732.0,1250.0
-4736.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4732.0,1250.0
-4740.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4724.0,1250.0
-4712.0,1250.0
-4732.0,1250.0
-4736.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4748.0,1250.0
-4736.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4768.0,1250.0
-4772.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4768.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4776.0,1250.0
-4776.0,1250.0
-4772.0,1250.0
-4760.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4768.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4732.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4736.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4744.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4772.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4772.0,1250.0
-4780.0,1250.0
-4772.0,1250.0
-4772.0,1250.0
-4776.0,1250.0
-4784.0,1250.0
-4784.0,1250.0
-4784.0,1250.0
-4784.0,1250.0
-4780.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4772.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4772.0,1250.0
-4772.0,1250.0
-4772.0,1250.0
-4768.0,1250.0
-4768.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4752.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4736.0,1250.0
-4732.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4732.0,1250.0
-4732.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4764.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4760.0,1250.0
-4764.0,1250.0
-4764.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4748.0,1250.0
-4740.0,1250.0
-4740.0,1250.0
-4748.0,1250.0
-4736.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4760.0,1250.0
-4756.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4752.0,1250.0
-4748.0,1250.0
-4744.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4740.0,1250.0
-4744.0,1250.0
-4748.0,1250.0
-4756.0,1250.0
-4756.0,1250.0
